lem,val
abacus,trust
abba,positive
abbot,trust
abduction,"fear,negative,sadness,surprise"
abhor,"anger,disgust,fear,negative"
abhorrent,"anger,disgust,fear,negative"
ability,positive
abject,"disgust,negative"
abnormal,"disgust,negative"
abolish,"anger,negative"
abolition,negative
abovementione,positive
abrasion,negative
abrogate,negative
abrupt,surprise
abscess,"negative,sadness"
absence,"fear,negative,sadness"
absorb,positive
abuse,"anger,disgust,fear,negative,sadness"
abysmal,"negative,sadness"
abyss,"fear,negative,sadness"
academic,"positive,trust"
academy,positive
accelerate,anticipation
accessible,positive
accolade,"anticipation,joy,positive,surprise,trust"
accommodation,positive
accompaniment,"anticipation,joy,positive,trust"
accord,"positive,trust"
accredit,"positive,trust"
accueil,positive
ace,positive
acid,negative
acknowledgment,positive
acrobat,"fear,joy,positive,trust"
actual,positive
acuity,positive
acumen,positive
adder,"anger,disgust,fear,negative,sadness"
addiction,negative
address,"anticipation,positive"
adept,positive
adequacy,positive
adhere,trust
adipose,negative
adjudicate,"fear,negative"
adjunct,positive
administrative,trust
admissible,"positive,trust"
admonition,"fear,negative"
adrift,"anticipation,fear,negative,sadness"
adulterate,negative
adultery,"disgust,negative,sadness"
advent,"anticipation,joy,positive,trust"
adversary,"anger,negative"
advice,trust
advocacy,"anger,anticipation,joy,positive,trust"
advocate,trust
affable,positive
affection,"joy,positive,trust"
affiliate,positive
affluence,"joy,positive"
affluent,positive
afford,positive
affront,"anger,disgust,fear,negative,sadness,surprise"
afraid,"fear,negative"
aftermath,"anger,disgust,fear,negative,sadness"
aftertaste,negative
aga,"fear,positive,trust"
aggressor,"anger,fear,negative"
aghast,"disgust,fear,negative,surprise"
agonize,"fear,negative"
agony,"anger,fear,negative,sadness"
agreeable,"positive,trust"
agreement,"positive,trust"
agriculture,positive
aground,negative
ahead,positive
aimless,negative
airport,anticipation
air,"disgust,negative"
akin,trust
alabaster,positive
alb,trust
alcoholism,"anger,disgust,fear,negative,sadness"
alimentation,positive
alimony,negative
alive,"anticipation,joy,positive,trust"
allay,positive
allegiance,"positive,trust"
allegro,positive
alliance,trust
allowable,positive
almighty,positive
aloha,"anticipation,joy,positive"
aloof,negative
altercation,"anger,negative"
amaze,surprise
amazingly,"joy,positive,surprise"
ambassador,"positive,trust"
ambiguous,negative
ambition,"anticipation,joy,positive,trust"
ambulance,"fear,trust"
ambush,"anger,fear,negative,surprise"
ameliorate,positive
amiable,positive
amicable,"joy,positive"
ammonia,disgust
amnesia,negative
amnesty,"joy,positive"
amortization,trust
amour,"anticipation,joy,positive,trust"
amphetamine,"disgust,negative"
anaconda,"disgust,fear,negative"
anal,negative
analyst,"anticipation,positive,trust"
anarchism,"anger,fear,negative"
anarchist,"anger,fear,negative"
anarchy,"anger,fear,negative"
anathema,"anger,disgust,fear,negative,sadness"
ancestral,trust
anchor,positive
anchorage,"positive,sadness"
ancient,negative
anger,"anger,negative"
angina,"fear,negative"
angling,"anticipation,negative"
angry,"anger,disgust,negative"
anguish,"anger,fear,negative,sadness"
animosity,"anger,disgust,fear,negative,sadness"
